STT	Tên hàm	Mô tả
1	double cos(double x)	Trả về cos của một góc radian x.
2	double sin(double x)	Trả về sin của một góc radian x.
3	double exp(double x)	Trả về giá trị của e mũ x.
4	double ldexp(double x, int exponent)	Trả về x * 2^exp.
5	double log(double x)	Trả về logarit tự nhiên (logarit cơ sở) của x.
6	double log10(double x)	Trả về logarit chung (logarit cơ sở 10) của x.
7	double pow(double x, double y)	Trả về x mũ y.
8	double sqrt(double x)	Trả về căn bậc hai của x.
9	double ceil(double x)	Trả về giá trị nguyên nhỏ nhất lớn hơn hoặc bằng x.
10	double fabs(double x)	Trả về giá trị tuyệt đối của x.
11	double floor(double x)	Trả về giá trị nguyên lớn nhất nhỏ hơn hoặc bằng x.
12	double fmod(double x, double y)	Trả về số dư còn lại của x chia cho y.
